Ranking,,,,,Total
,0,Car_ID,Year,Make,Model
1,62,48,2015,Acura,TLX
2,124,124,2015,Jeep,Wrangler
3,40,222,2015,Lexus,Is250
4,40,207,1993,Honda,Civic eG
5,20,167,2016,Ford,Mystang
6,14,159,2013,Hyundai,Gen coupe
7,38,20,2009,Infinity,G37
8,72,178,2009,Honda,Oddesy
9,66,30,2012,Hyundai,Celoster
10,6,134,2012,Subaru,WRX
11,50,51,2015,Subaru,WRX
12,16,183,2005,Volkswagen,Jetta
13,12,177,2005,Volkswagen,Jetta gli
14,50,5,2003,Acura,Rsx
15,64,218,2010,Chevy,Camaro
16,72,39,2011,Honda,Civic
17,10,68,2013,Nissan,Altima
18,34,10,2001,Nissan,S15
19,14,67,2015,Subaru,Sti
20,54,43,2011,Toyota,4 Runner
21,50,170,2014,Chevy,Cruze
22,96,216,2007,Chrystler,300
23,38,99,2014,Civic,Si
24,16,89,2014,Honda,Civic si
25,12,95,2004,Infiniti,G35
26,92,228,2010,Nissan,370
27,30,7,2014,Nissan,Sentra
28,26,14,1990,Nissan,Skyline
29,44,8,1991,Nissan,Skyline
30,38,145,1990,Volkswagen,Gti
31,10,102,2015,Honda,Accord
32,74,36,2016,Subaru,WRX
33,50,189,2012,Toyota,Fj cruiser
34,10,111,2007,Bmw,328i
35,44,140,1995,Mitsu,Evo8
36,84,161,2012,Nissan,370z
37,54,37,2015,Subaru,Sti
38,10,243,2008,Toyota,Matrix
39,8,184,2010,Volkswagen,Cc
40,4,66,2010,Volkswagen,Gti
41,0,101,2014,Honda,Civic
42,62,21,2009,Subaru,WRX
43,36,200,2016,Subaru,WRX
44,24,2,2016,Bmw,M2
45,62,23,1998,Subaru,Legacy
46,28,59,2012,Volkswagen,Golf
47,8,42,2001,Dodge,Viper
48,112,83,2014,Honda,Accord
49,10,16,2008,Nissan,350z
50,30,181,2003,Volkswagen,Gti
51,0,0,2015,Chevy,Camaro
52,48,88,2008,Honda,Accord
53,78,25,2012,Mercedes,C250
54,40,176,2014,Mitsu,Lancer
55,52,134,2013,Subaru,WRX
56,86,127,2013,Acura,Tsx
57,48,104,2014,Civic coupe,Si
58,30,120,2014,Ford,Focus st
59,42,85,2017,Honda,Accord
60,44,Showcar,2014,Nissan,Gtr
61,14,108,2013,Audi,S4
62,26,98,2012,Benz,C63
63,24,130,2016,Honda,Civic si
64,62,12,1990,Nissan,240
65,46,232,2018,Subaru,WRX
66,16,Vip,2008,Volkswagen,Gli
67,10,96,2017,Volkswagen,Gti
68,120,15,2014,Audi,S4
69,106,65,2009,Honda,Fit
70,30,92,2017,Hyundai,Elantra sport
71,38,179,2004,Volkswagen,R32
72,86,63,2010,Honda,Civic
73,60,35,2016,Honda,Civic
